,LSOA21CD,LAT,LONG,curtailment_risk
166,E01000179,51.5953,-0.1767,1
167,E01000180,51.58956,-0.17102,5
168,E01000181,51.59099,-0.1629,3
169,E01000182,51.58757,-0.16212,3
170,E01000183,51.58964,-0.17804,5
171,E01000184,51.60134,-0.16639,1
172,E01000185,51.59552,-0.172,4
173,E01000186,51.6227,-0.27593,4
174,E01000187,51.62463,-0.27319,2
175,E01000188,51.63119,-0.28838,1
176,E01000189,51.62151,-0.288,1
177,E01000190,51.61941,-0.28397,1
178,E01000191,51.62043,-0.27771,4
179,E01000192,51.61618,-0.27248,2
180,E01000193,51.61509,-0.27885,5
181,E01000194,51.61113,-0.275,2
182,E01000195,51.63095,-0.26788,5
183,E01000196,51.59756,-0.19646,3
184,E01000197,51.59778,-0.18948,4
185,E01000198,51.59526,-0.21261,4
186,E01000199,51.59978,-0.20637,1
187,E01000200,51.59596,-0.20556,5
188,E01000201,51.59155,-0.20578,4
189,E01000202,51.5939,-0.19551,4
190,E01000203,51.59266,-0.19049,5
191,E01000204,51.6017,-0.19763,2
192,E01000205,51.58719,-0.18896,2
193,E01000206,51.57359,-0.17771,1
194,E01000207,51.58348,-0.1844,4
195,E01000208,51.58571,-0.16897,1
196,E01000209,51.58358,-0.19426,5
197,E01000210,51.59006,-0.18294,2
198,E01000211,51.58829,-0.19627,4
199,E01000212,51.57801,-0.19496,4
200,E01000213,51.57974,-0.17866,1
201,E01000214,51.57316,-0.1902,2
202,E01000215,51.58136,-0.20905,2
203,E01000216,51.57957,-0.20074,5
204,E01000217,51.58298,-0.20327,4
205,E01000218,51.57712,-0.20377,4
206,E01000219,51.57628,-0.21293,1
207,E01000220,51.57635,-0.20782,4
208,E01000221,51.57329,-0.21774,4
209,E01000222,51.56985,-0.21422,2
210,E01000223,51.56765,-0.22337,1
211,E01000224,51.56545,-0.21355,4
212,E01000225,51.58603,-0.206,1
213,E01000226,51.61017,-0.26549,1
214,E01000227,51.61457,-0.26664,5
215,E01000228,51.63308,-0.24999,4
216,E01000229,51.62442,-0.26487,5
217,E01000230,51.61953,-0.26859,1
218,E01000231,51.62434,-0.25791,2
219,E01000232,51.61926,-0.26168,2
220,E01000233,51.61378,-0.25996,4
221,E01000234,51.6159,-0.25597,3
222,E01000235,51.61041,-0.25354,5
223,E01000236,51.58454,-0.21356,5
224,E01000237,51.58552,-0.22761,5
225,E01000238,51.58886,-0.21191,3
226,E01000239,51.58935,-0.23257,2
227,E01000240,51.59766,-0.22777,1
228,E01000241,51.59415,-0.22505,1
229,E01000242,51.59286,-0.2167,3
230,E01000243,51.59102,-0.22195,5
231,E01000244,51.59123,-0.22859,2
232,E01000245,51.58708,-0.22169,1
233,E01000246,51.65905,-0.18475,1
234,E01000247,51.65471,-0.1826,5
235,E01000248,51.65463,-0.20761,4
236,E01000249,51.65752,-0.21395,2
237,E01000250,51.65429,-0.19641,2
238,E01000251,51.65027,-0.17801,2
239,E01000252,51.64918,-0.186,5
240,E01000253,51.65048,-0.23592,4
241,E01000254,51.66312,-0.19775,3
242,E01000255,51.61697,-0.22561,5
243,E01000256,51.60939,-0.23455,4
244,E01000257,51.60855,-0.20641,5
245,E01000258,51.61533,-0.23786,4
246,E01000259,51.60504,-0.21745,5
247,E01000260,51.60429,-0.23466,2
248,E01000261,51.62411,-0.2355,3
249,E01000263,51.62085,-0.24681,1
250,E01000264,51.61482,-0.24931,3
251,E01000265,51.62438,-0.15772,3
252,E01000266,51.62386,-0.1679,4
253,E01000267,51.6411,-0.17274,2
254,E01000268,51.64712,-0.18068,5
255,E01000269,51.64306,-0.18353,1
256,E01000270,51.64592,-0.17595,4
257,E01000271,51.63907,-0.17711,5
258,E01000272,51.63669,-0.1676,1
259,E01000273,51.63179,-0.17146,3
260,E01000274,51.62868,-0.16059,4
261,E01000275,51.62056,-0.18599,3
262,E01000276,51.6199,-0.19568,3
263,E01000277,51.61825,-0.18346,5
264,E01000278,51.61417,-0.19465,1
265,E01000279,51.63279,-0.21495,2
266,E01000280,51.63407,-0.18822,4
267,E01000281,51.62938,-0.17293,5
268,E01000282,51.62702,-0.18209,1
269,E01000283,51.62433,-0.18912,5
270,E01000284,51.62524,-0.17768,3
271,E01000285,51.64456,-0.20967,3
272,E01000286,51.64821,-0.21806,1
273,E01000287,51.64415,-0.21496,3
274,E01000288,51.64325,-0.1905,1
275,E01000289,51.64418,-0.19584,5
276,E01000290,51.64284,-0.22671,5
277,E01000291,51.64334,-0.20397,1
278,E01000292,51.64929,-0.20339,3
279,E01000293,51.6492,-0.19829,3
280,E01000294,51.65146,-0.21095,3
281,E01000295,51.60131,-0.18851,2
282,E01000296,51.60309,-0.19402,2
283,E01000297,51.5989,-0.18194,3
284,E01000298,51.60537,-0.18617,1
285,E01000299,51.61479,-0.17847,4
286,E01000300,51.6143,-0.18384,4
287,E01000301,51.61058,-0.18852,2
288,E01000302,51.61084,-0.18245,5
289,E01000303,51.60963,-0.19314,1
290,E01000304,51.60644,-0.19807,2
291,E01000305,51.57327,-0.24177,5
292,E01000306,51.57815,-0.23558,2
293,E01000307,51.57511,-0.22727,3
294,E01000308,51.57801,-0.24776,3
295,E01000309,51.58502,-0.23469,4
296,E01000310,51.58009,-0.22427,1
297,E01000311,51.58096,-0.21764,2
298,E01000312,51.58198,-0.25037,5
299,E01000313,51.58075,-0.23786,2
300,E01000314,51.58138,-0.22917,5
301,E01000315,51.60748,-0.16519,1
302,E01000316,51.60424,-0.17446,3
303,E01000317,51.6086,-0.17972,4
304,E01000318,51.61122,-0.1715,4
305,E01000319,51.60189,-0.17876,1
306,E01000320,51.61971,-0.17215,5
307,E01000321,51.61864,-0.17716,1
308,E01000322,51.61608,-0.17093,1
309,E01000323,51.6142,-0.17337,3
310,E01000324,51.61466,-0.16467,1
311,E01000325,51.46186,0.16648,2
312,E01000326,51.46224,0.176144,4
313,E01000327,51.46251,0.154245,2
314,E01000328,51.45747,0.166575,5
315,E01000329,51.45412,0.157189,4
316,E01000330,51.45879,0.150673,5
317,E01000331,51.45197,0.162644,2
318,E01000332,51.48516,0.151857,2
319,E01000333,51.48253,0.146361,4
320,E01000334,51.48224,0.139362,3
321,E01000335,51.49728,0.156405,3
322,E01000336,51.48814,0.145227,2
323,E01000337,51.4876,0.141312,4
324,E01000338,51.48723,0.147302,1
325,E01000339,51.4393,0.087638,5
326,E01000340,51.45195,0.092793,1
327,E01000341,51.44883,0.095025,4
328,E01000342,51.44702,0.091243,1
329,E01000343,51.44622,0.098388,3
330,E01000344,51.44269,0.087476,2
331,E01000345,51.44184,0.094345,5
332,E01000346,51.44584,0.111409,1
333,E01000347,51.44803,0.105883,5
334,E01000348,51.44585,0.125326,3
335,E01000349,51.446,0.134313,5
336,E01000350,51.44537,0.102421,1
337,E01000351,51.44246,0.116375,5
338,E01000352,51.44802,0.118734,5
339,E01000353,51.469,0.143709,4
340,E01000354,51.47069,0.134674,1
341,E01000355,51.46796,0.152645,5
342,E01000356,51.46642,0.131984,5
343,E01000357,51.46736,0.126614,1
344,E01000358,51.46607,0.14062,3
345,E01000359,51.47343,0.130727,4
346,E01000360,51.45784,0.137658,4
347,E01000361,51.45626,0.131438,3
348,E01000362,51.45414,0.146078,4
349,E01000363,51.45122,0.136586,1
350,E01000364,51.45009,0.149213,2
351,E01000365,51.46049,0.145023,4
352,E01000366,51.46139,0.135924,4
353,E01000367,51.47241,0.177118,4
354,E01000368,51.46818,0.175088,2
355,E01000369,51.46985,0.167507,1
356,E01000370,51.4674,0.162165,5
357,E01000371,51.46673,0.168079,1
358,E01000372,51.47432,0.170613,5
359,E01000373,51.47429,0.17846,1
360,E01000374,51.45802,0.192383,4
361,E01000375,51.45025,0.186757,5
362,E01000376,51.45722,0.185679,4
363,E01000377,51.45632,0.177532,3
364,E01000379,51.4461,0.18073,4
365,E01000380,51.46133,0.181154,5
366,E01000381,51.42974,0.139683,2
367,E01000382,51.42857,0.118251,1
368,E01000383,51.41992,0.137096,4
369,E01000384,51.42144,0.111132,4
370,E01000385,51.41902,0.124282,5
371,E01000386,51.42113,0.11572,1
372,E01000387,51.43362,0.126024,5
373,E01000388,51.4582,0.110195,3
374,E01000389,51.45679,0.125014,4
375,E01000390,51.45274,0.122364,4
376,E01000391,51.45301,0.110027,2
377,E01000392,51.46255,0.112037,4
378,E01000393,51.46159,0.122617,5
379,E01000394,51.46073,0.129256,5
380,E01000395,51.46853,0.087691,4
381,E01000396,51.46187,0.087099,1
382,E01000398,51.47064,0.09395,2
383,E01000399,51.46635,0.092559,5
384,E01000400,51.46539,0.098476,5
385,E01000401,51.46701,0.10595,5
386,E01000402,51.4821,0.156595,2
387,E01000403,51.47881,0.177221,1
388,E01000404,51.4848,0.174309,2
389,E01000405,51.48602,0.168505,1
390,E01000406,51.48428,0.162229,5
391,E01000407,51.47944,0.165082,4
392,E01000408,51.49562,0.164639,5
393,E01000409,51.45706,0.10234,3
394,E01000410,51.45758,0.093007,3
395,E01000411,51.45537,0.098174,5
396,E01000412,51.45805,0.08347,2
397,E01000413,51.45284,0.097511,2
398,E01000414,51.46219,0.104246,3
399,E01000415,51.46058,0.095736,1
400,E01000416,51.49337,0.124339,3
401,E01000417,51.4849,0.128885,4
402,E01000418,51.48924,0.130816,5
403,E01000419,51.47783,0.128037,5
404,E01000420,51.4795,0.138628,2
405,E01000421,51.47661,0.13233,4
406,E01000422,51.49494,0.12215,1
407,E01000423,51.43389,0.07945,4
408,E01000424,51.43072,0.096613,2
409,E01000425,51.43381,0.088381,1
410,E01000426,51.42936,0.087314,3
411,E01000427,51.42659,0.091705,5
412,E01000428,51.42057,0.101728,5
413,E01000429,51.47735,0.188053,1
414,E01000430,51.47641,0.202295,1
415,E01000431,51.47414,0.183911,3
416,E01000433,51.46778,0.185263,2
417,E01000434,51.465,0.199599,4
418,E01000435,51.46607,0.180847,4
419,E01000436,51.47361,0.140354,5
420,E01000437,51.47684,0.151436,2
421,E01000438,51.47631,0.159432,5
422,E01000439,51.47478,0.163205,1
423,E01000440,51.47283,0.148166,4
424,E01000441,51.47223,0.157123,5
425,E01000442,51.47737,0.144649,4
426,E01000443,51.43841,0.123339,1
427,E01000444,51.43685,0.161929,1
428,E01000445,51.43724,0.133472,1
429,E01000446,51.44155,0.126464,5
430,E01000447,51.44156,0.151244,1
431,E01000448,51.44171,0.136775,5
432,E01000449,51.44475,0.143565,3
433,E01000450,51.47597,0.120203,5
434,E01000451,51.47372,0.118875,5
435,E01000452,51.47141,0.124023,4
436,E01000453,51.46971,0.119798,2
437,E01000454,51.4708,0.114578,4
438,E01000455,51.46673,0.114404,3
439,E01000456,51.46621,0.121291,4
440,E01000457,51.42981,0.104368,3
441,E01000458,51.43067,0.110896,1
442,E01000459,51.42604,0.108913,4
443,E01000460,51.43989,0.10404,4
444,E01000461,51.43658,0.113586,3
445,E01000462,51.43426,0.10417,4
446,E01000463,51.43702,0.090182,4
447,E01000464,51.49317,0.132238,1
448,E01000465,51.49364,0.142402,2
449,E01000466,51.50162,0.139406,5
450,E01000467,51.5099,0.123465,4
451,E01000468,51.51021,0.129792,4
452,E01000469,51.50542,0.126845,1
453,E01000470,51.50018,0.125635,4
454,E01000471,51.53734,-0.2915,4
455,E01000472,51.53622,-0.30002,1
456,E01000473,51.54396,-0.29519,3
457,E01000474,51.5461,-0.29041,4
458,E01000475,51.54316,-0.30597,2
459,E01000476,51.54216,-0.28967,3
460,E01000477,51.54115,-0.28378,4
461,E01000478,51.54101,-0.29455,2
462,E01000479,51.56952,-0.26974,3
463,E01000480,51.56892,-0.2807,1
464,E01000481,51.5657,-0.27353,4
465,E01000483,51.56192,-0.26626,1
466,E01000484,51.58115,-0.28438,4
467,E01000485,51.57822,-0.29094,4
468,E01000486,51.57478,-0.28172,1
469,E01000487,51.57165,-0.29175,4
470,E01000488,51.54305,-0.22954,2
471,E01000489,51.54445,-0.22265,5
472,E01000490,51.5438,-0.2078,2
473,E01000491,51.54139,-0.2144,3
474,E01000492,51.54139,-0.22391,5
475,E01000493,51.53886,-0.22594,2
476,E01000494,51.54603,-0.21816,5
477,E01000495,51.54546,-0.21231,4
478,E01000497,51.5646,-0.22769,3
479,E01000498,51.56864,-0.24382,2
480,E01000499,51.56967,-0.23642,4
481,E01000501,51.56275,-0.23444,5
482,E01000502,51.55999,-0.24084,5
483,E01000503,51.55958,-0.23093,4
484,E01000504,51.55169,-0.22539,1
485,E01000505,51.55244,-0.23119,1
486,E01000506,51.55241,-0.24648,2
487,E01000507,51.55438,-0.23419,1
488,E01000508,51.54859,-0.24752,3
489,E01000509,51.56178,-0.24954,5
490,E01000510,51.55924,-0.24799,3
491,E01000511,51.55674,-0.24611,2
492,E01000512,51.55412,-0.24066,3
493,E01000513,51.58466,-0.25177,5
494,E01000514,51.58273,-0.25887,4
495,E01000515,51.58452,-0.2682,5
496,E01000516,51.58796,-0.25518,3
497,E01000517,51.58278,-0.27721,1
498,E01000518,51.58039,-0.26674,4
499,E01000519,51.5762,-0.26886,5
500,E01000520,51.5871,-0.26439,1
501,E01000521,51.54039,-0.25382,2
502,E01000522,51.54211,-0.24544,1
503,E01000523,51.53958,-0.24796,4
504,E01000524,51.53719,-0.25036,3
505,E01000525,51.5351,-0.25188,4
506,E01000526,51.54671,-0.25181,2
507,E01000527,51.54267,-0.2494,2
508,E01000528,51.5438,-0.25434,4
509,E01000530,51.53523,-0.22986,1
510,E01000531,51.53259,-0.231,3
511,E01000532,51.5316,-0.22643,2
512,E01000533,51.53778,-0.24327,5
513,E01000534,51.535,-0.23485,5
514,E01000535,51.53401,-0.2384,3
515,E01000536,51.58219,-0.31048,4
516,E01000538,51.58089,-0.30029,2
517,E01000539,51.57581,-0.29597,5
518,E01000540,51.57749,-0.30759,4
519,E01000541,51.58554,-0.30407,2
520,E01000543,51.58371,-0.28848,1
521,E01000544,51.52943,-0.19731,4
522,E01000545,51.543,-0.20198,1
523,E01000546,51.54196,-0.2039,5
524,E01000547,51.53994,-0.20087,3
525,E01000548,51.53844,-0.19583,4
526,E01000549,51.53739,-0.19982,3
527,E01000550,51.53572,-0.19445,3
528,E01000551,51.53367,-0.20024,1
529,E01000552,51.53156,-0.19613,3
530,E01000553,51.55853,-0.22005,5
531,E01000554,51.55854,-0.22534,1
532,E01000555,51.5551,-0.226,4
533,E01000556,51.55536,-0.21528,3
534,E01000557,51.55358,-0.2183,5
535,E01000558,51.55113,-0.21112,5
536,E01000559,51.55142,-0.22148,2
537,E01000560,51.55017,-0.21638,5
538,E01000561,51.5485,-0.207,2
539,E01000562,51.56519,-0.32629,4
540,E01000563,51.56659,-0.31782,1
541,E01000564,51.56365,-0.31242,3
542,E01000565,51.5636,-0.31847,4
543,E01000566,51.56551,-0.30973,2
544,E01000567,51.56039,-0.326,1
545,E01000568,51.57671,-0.31852,1
546,E01000569,51.57085,-0.31295,4
547,E01000570,51.55989,-0.29966,5
548,E01000571,51.55926,-0.29503,5
549,E01000572,51.57406,-0.30791,4
550,E01000573,51.57181,-0.3007,1
551,E01000574,51.57024,-0.30509,3
552,E01000575,51.56648,-0.29643,5
553,E01000576,51.5677,-0.29037,1
554,E01000577,51.56449,-0.30093,5
555,E01000578,51.56319,-0.28459,3
556,E01000579,51.53052,-0.22022,4
557,E01000580,51.53822,-0.20818,2
558,E01000581,51.53723,-0.21875,2
559,E01000582,51.53425,-0.21392,1
560,E01000583,51.53498,-0.20325,1
561,E01000584,51.53509,-0.2233,3
562,E01000585,51.5325,-0.22261,3
563,E01000586,51.5312,-0.21551,2
564,E01000587,51.59433,-0.27068,4
565,E01000589,51.59062,-0.28066,1
566,E01000590,51.59061,-0.26849,4
567,E01000591,51.58754,-0.27685,5
568,E01000592,51.59769,-0.26747,1
569,E01000593,51.59559,-0.27498,4
570,E01000594,51.59385,-0.28383,2
571,E01000595,51.54474,-0.25901,1
572,E01000596,51.54681,-0.26272,2
573,E01000599,51.53987,-0.26084,5
574,E01000601,51.5543,-0.25947,5
575,E01000602,51.55138,-0.26442,5
576,E01000603,51.55026,-0.25845,3
577,E01000604,51.54925,-0.26712,3
578,E01000605,51.54464,-0.26836,3
579,E01000606,51.5585,-0.331,1
580,E01000607,51.55613,-0.31134,4
581,E01000608,51.55972,-0.31558,1
582,E01000609,51.55565,-0.32309,2
583,E01000610,51.55521,-0.30576,1
584,E01000611,51.55257,-0.31765,1
585,E01000612,51.54999,-0.31056,1
586,E01000613,51.56018,-0.30624,5
587,E01000615,51.55719,-0.27273,5
588,E01000616,51.55667,-0.29,4
589,E01000617,51.55261,-0.28202,3
590,E01000618,51.54927,-0.27506,3
591,E01000619,51.55147,-0.27067,4
592,E01000620,51.5467,-0.28313,4
593,E01000621,51.54725,-0.27572,3
594,E01000622,51.56749,-0.25235,2
595,E01000623,51.57235,-0.26536,2
596,E01000624,51.57371,-0.25424,4
597,E01000625,51.56718,-0.26335,3
598,E01000626,51.5635,-0.25979,3
599,E01000627,51.56119,-0.25676,5
600,E01000628,51.55722,-0.25578,4
601,E01000629,51.57542,-0.25925,5
602,E01000630,51.54995,-0.29445,4
603,E01000631,51.54779,-0.30366,2
604,E01000632,51.54439,-0.30066,1
605,E01000633,51.54971,-0.3005,5
606,E01000634,51.55623,-0.30098,3
607,E01000636,51.55182,-0.2886,5
608,E01000637,51.5497,-0.23154,4
609,E01000638,51.54545,-0.24105,1
610,E01000639,51.54873,-0.22529,2
611,E01000640,51.54738,-0.23574,4
612,E01000641,51.55029,-0.23503,3
613,E01000642,51.54778,-0.22458,5
614,E01000643,51.54236,-0.23783,2
615,E01000644,51.54632,-0.2317,1
616,E01000645,51.41019,0.046147,4
617,E01000646,51.40595,0.036929,5
618,E01000647,51.40468,0.031912,5
619,E01000648,51.40068,0.038175,4
620,E01000649,51.40265,0.052957,2
621,E01000650,51.39543,0.050521,4
622,E01000651,51.39709,0.043134,4
623,E01000652,51.39284,0.054588,2
624,E01000653,51.41035,0.03455,4
625,E01000654,51.30076,0.017795,4
626,E01000655,51.30606,0.019463,2
627,E01000656,51.32006,0.017438,1
628,E01000657,51.31359,0.032781,1
629,E01000658,51.32507,0.033949,5
630,E01000659,51.31103,0.023628,5
631,E01000661,51.38374,0.038516,1
632,E01000662,51.3858,0.05091,3
633,E01000663,51.38459,0.060916,3
634,E01000664,51.37988,0.052787,5
635,E01000665,51.37718,0.043872,1
636,E01000666,51.36046,0.03372,3
637,E01000667,51.36617,0.047218,5
638,E01000668,51.39154,0.027866,1
639,E01000669,51.39101,0.038149,1
640,E01000670,51.39567,0.015945,1
641,E01000671,51.3958,0.028442,1
642,E01000672,51.41517,0.001702,1
643,E01000673,51.4111,-0.00122,3
644,E01000674,51.41076,0.007319,1
645,E01000676,51.40721,0.011333,2
646,E01000677,51.40406,0.00865,5
647,E01000678,51.40019,0.023935,5
648,E01000679,51.39673,0.033529,1
649,E01000680,51.35125,0.120916,2
650,E01000681,51.36735,0.087238,5
651,E01000682,51.36142,0.084096,5
652,E01000683,51.36496,0.09062,1
653,E01000684,51.36041,0.098126,3
654,E01000685,51.35978,0.112519,4
655,E01000686,51.35882,0.091978,4
656,E01000687,51.35108,0.09243,3
657,E01000688,51.35021,0.104209,5
658,E01000689,51.42365,0.079531,4
659,E01000690,51.4245,0.068508,4
660,E01000691,51.42273,0.061869,3
661,E01000692,51.41889,0.06939,5
662,E01000693,51.41497,0.089491,3
663,E01000694,51.41876,0.047739,1
664,E01000695,51.41565,0.057954,5
665,E01000696,51.40745,0.070239,2
666,E01000697,51.4086,0.060125,4
667,E01000698,51.40021,0.088646,3
668,E01000699,51.40648,-0.06026,2
669,E01000700,51.40614,-0.04571,1
670,E01000701,51.40645,-0.05212,4
671,E01000702,51.40881,-0.0469,5
672,E01000703,51.40657,-0.03758,2
673,E01000704,51.40244,-0.05786,3
674,E01000705,51.40414,-0.06479,2
675,E01000706,51.40205,-0.05003,1
676,E01000707,51.40405,-0.03917,3
677,E01000708,51.40123,-0.0427,4
678,E01000709,51.41077,-0.03441,5
679,E01000710,51.41622,-0.02805,1
680,E01000711,51.41319,-0.03034,3
681,E01000712,51.41289,-0.01988,5
682,E01000713,51.41082,-0.01038,1
683,E01000714,51.40874,-0.02762,3
684,E01000715,51.40719,-0.01622,2
685,E01000716,51.40474,-0.01044,2
686,E01000717,51.40471,-0.00396,4
687,E01000718,51.42096,-0.02648,1
688,E01000719,51.39632,0.117164,3
689,E01000720,51.387,0.13973,1
690,E01000721,51.39192,0.121776,3
691,E01000722,51.39078,0.108801,2
692,E01000723,51.37835,0.123994,1
693,E01000724,51.38743,0.120893,3
694,E01000725,51.38584,0.10968,1
695,E01000726,51.38446,0.115395,3
696,E01000727,51.38331,0.098971,2
697,E01000728,51.40625,0.129024,4
698,E01000729,51.40544,0.10831,3
699,E01000730,51.39756,0.108609,3
700,E01000731,51.39631,0.097899,2
701,E01000732,51.39028,0.093728,1
702,E01000733,51.39125,0.10027,5
703,E01000734,51.3874,0.099173,4
704,E01000735,51.4115,0.109164,5
705,E01000736,51.40605,0.092938,4
706,E01000737,51.40573,0.099552,5
707,E01000738,51.40279,0.112876,5
708,E01000739,51.40102,0.105634,3
709,E01000741,51.41472,-0.07355,3
710,E01000742,51.41738,-0.06537,3
711,E01000743,51.41051,-0.06778,4
712,E01000744,51.40662,-0.0686,3
713,E01000745,51.42195,-0.06142,1
